Date,Ticker,Open,High,Low,Close,AdjClose,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR_14,Stoch_K,Stoch_D,OBV,Daily_Return
2021-01-01,AAPL,129.89,130.03,128.91,129.79,129.79,55419176,,,,,,,,,,,,,,,,,0,0.0
2021-01-04,AAPL,128.61,129.71,127.27,127.94,127.94,37143732,,,,,,,,,,,,,,,,,-37143732,-0.0143
2021-01-05,AAPL,128.65,129.46,128.38,128.51,128.51,52946426,,,,,,,,,,,,,,,,,15802694,0.0045
2021-01-06,AAPL,128.39,130.29,126.04,127.22,127.22,39898874,,,,,,,,,,,,,,,,,-24096180,-0.01
2021-01-07,AAPL,126.34,128.8,125.74,128.41,128.41,76439446,,,,,,,,,,,,,,,,,52343266,0.0094
2021-01-08,AAPL,128.64,130.61,126.69,128.05,128.05,54659229,,,,,,,,,,,,,,,,,-2315963,-0.0028
2021-01-11,AAPL,127.12,132.59,126.38,129.34,129.34,59102282,,,,,,,,,,,,,,,,,56786319,0.0101
2021-01-12,AAPL,128.96,130.77,124.15,125.77,125.77,71926673,,,,,,,,,,,,,,,,,-15140354,-0.0276
2021-01-13,AAPL,125.6,125.86,124.61,125.72,125.72,34926863,,,,,,,,,,,,,,,,,-50067217,-0.0004
2021-01-14,AAPL,126.0,126.3,124.26,125.95,125.95,43349193,,,,,,,,,,,,,,,,,-6718024,0.0018
2021-01-15,AAPL,126.25,126.56,122.33,125.13,125.13,59889134,,,,,,,,,,,,,,,,,-66607158,-0.0065
2021-01-18,AAPL,124.9,124.99,123.62,124.32,124.32,47616991,,,,127.18,,,,,,,,,,,,,-114224149,-0.0065
2021-01-19,AAPL,124.27,129.04,123.63,127.3,127.3,80023747,,,,127.2,,,,,,,,,,,,,-34200402,0.024
2021-01-20,AAPL,126.87,128.73,126.65,127.69,127.69,45757810,,,,127.27,,,,,,,,,,3.27,52.24,,11557408,0.0031
2021-01-21,AAPL,129.11,129.88,128.27,129.02,129.02,52742777,,,,127.54,,,,,47.7,,,,,3.19,65.2,,64300185,0.0104
2021-01-22,AAPL,129.86,130.81,125.31,125.55,125.55,69148268,,,,127.24,,,,,38.99,,,,,3.36,31.38,49.61,-4848083,-0.0269
2021-01-25,AAPL,125.37,127.59,122.97,124.26,124.26,52093825,,,,126.78,,,,,36.33,,,,,3.45,18.81,38.47,-56941908,-0.0103
2021-01-26,AAPL,126.29,126.81,125.71,125.74,125.74,36885970,,,,126.62,,,,,41.28,,,,,3.38,33.24,27.81,-20055938,0.0119
2021-01-27,AAPL,126.28,128.42,125.05,128.09,128.09,46396529,,,,126.84,,,,,48.16,,,,,3.38,56.14,36.06,26340591,0.0187
2021-01-28,AAPL,129.47,132.73,122.66,123.23,123.23,101994196,126.85,,,126.29,,,,,38.19,130.47,126.85,123.24,0.057,3.86,8.65,32.68,-75653605,-0.0379
2021-01-29,AAPL,123.3,127.17,121.97,126.54,126.54,63565560,126.69,,,126.33,,,,,46.34,130.04,126.69,123.34,0.0529,3.95,42.47,35.76,-12088045,0.0269
2021-02-01,AAPL,126.31,127.54,125.57,126.1,126.1,63061430,126.6,,,126.29,,,,,45.48,129.91,126.6,123.29,0.0523,3.81,38.38,29.84,-75149475,-0.0035
2021-02-02,AAPL,125.77,128.17,125.77,127.41,127.41,71969538,126.54,,,126.46,,,,,48.53,129.76,126.54,123.32,0.0509,3.71,50.56,43.8,-3179937,0.0104
2021-02-03,AAPL,127.03,129.86,125.75,128.77,128.77,48652808,126.62,,,126.82,,,,,51.57,129.97,126.62,123.27,0.0529,3.74,63.2,50.71,45472871,0.0107
2021-02-04,AAPL,128.01,129.44,126.52,129.17,129.17,39686622,126.66,,,127.18,,,,,52.46,130.11,126.66,123.21,0.0544,3.68,66.91,60.22,85159493,0.0031
2021-02-05,AAPL,129.28,131.58,128.08,129.18,129.18,58376868,126.71,,,127.49,127.08,0.404,,,52.48,130.29,126.71,123.14,0.0564,3.67,67.01,65.71,143536361,0.0001
2021-02-08,AAPL,129.38,131.55,127.05,129.13,129.13,35925922,126.7,,,127.74,127.24,0.505,,,52.34,130.25,126.7,123.16,0.0559,3.73,66.54,66.82,107610439,-0.0004
2021-02-09,AAPL,129.15,129.29,126.46,128.56,128.56,39677994,126.84,,,127.87,127.33,0.533,,,50.69,130.45,126.84,123.24,0.0568,3.66,61.25,64.93,67932445,-0.0044
2021-02-10,AAPL,128.68,128.92,123.75,126.2,126.2,62170439,126.87,,,127.61,127.25,0.36,,,44.45,130.45,126.87,123.29,0.0564,3.77,39.31,55.7,5762006,-0.0184
2021-02-11,AAPL,126.93,127.11,126.12,127.01,127.01,41831631,126.92,,,127.52,127.23,0.286,,,46.87,130.48,126.92,123.36,0.056,3.57,46.84,49.13,47593637,0.0064
