Date,Ticker,Open,High,Low,Close,AdjClose,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR_14,Stoch_K,Stoch_D,OBV,Daily_Return
2021-01-01,ETHIO_COFFEE,185.55,196.6,179.14,194.18,194.18,343968,,,,,,,,,,,,,,,,,0,0.0
2021-01-04,ETHIO_COFFEE,195.51,197.35,192.71,194.07,194.07,210126,,,,,,,,,,,,,,,,,-210126,-0.0006
2021-01-05,ETHIO_COFFEE,193.31,198.79,192.4,195.53,195.53,201746,,,,,,,,,,,,,,,,,-8380,0.0075
2021-01-06,ETHIO_COFFEE,196.3,203.47,196.07,198.34,198.34,222604,,,,,,,,,,,,,,,,,214224,0.0144
2021-01-07,ETHIO_COFFEE,197.52,199.03,196.49,197.1,197.1,146989,,,,,,,,,,,,,,,,,67235,-0.0063
2021-01-08,ETHIO_COFFEE,198.34,201.0,194.97,200.0,200.0,216893,,,,,,,,,,,,,,,,,284128,0.0147
2021-01-11,ETHIO_COFFEE,198.41,198.59,192.71,198.54,198.54,210870,,,,,,,,,,,,,,,,,73258,-0.0073
2021-01-12,ETHIO_COFFEE,194.7,200.74,191.67,197.31,197.31,224593,,,,,,,,,,,,,,,,,-151335,-0.0062
2021-01-13,ETHIO_COFFEE,195.71,202.67,192.66,199.66,199.66,202477,,,,,,,,,,,,,,,,,51142,0.0119
2021-01-14,ETHIO_COFFEE,197.74,199.53,194.73,194.8,194.8,207700,,,,,,,,,,,,,,,,,-156558,-0.0243
2021-01-15,ETHIO_COFFEE,193.31,205.0,193.12,200.03,200.03,293815,,,,,,,,,,,,,,,,,137257,0.0268
2021-01-18,ETHIO_COFFEE,200.1,200.68,197.57,197.83,197.83,238481,,,,197.28,,,,,,,,,,,,,-101224,-0.011
2021-01-19,ETHIO_COFFEE,197.19,198.99,193.19,196.26,196.26,126720,,,,197.13,,,,,,,,,,,,,-227944,-0.0079
2021-01-20,ETHIO_COFFEE,196.48,197.61,193.59,194.86,194.86,198318,,,,196.78,,,,,,,,,,7.22,60.79,,-426262,-0.0071
2021-01-21,ETHIO_COFFEE,195.23,203.44,193.97,202.23,202.23,287562,,,,197.62,,,,,61.12,,,,,7.38,79.22,,-138700,0.0378
2021-01-22,ETHIO_COFFEE,202.57,209.75,202.46,205.16,205.16,214302,,,,198.78,,,,,64.24,,,,,7.39,74.61,71.54,75602,0.0145
2021-01-25,ETHIO_COFFEE,205.89,215.83,204.65,214.94,214.94,297563,,,,201.26,,,,,72.24,,,,,7.66,96.32,83.38,373165,0.0477
2021-01-26,ETHIO_COFFEE,215.48,219.65,212.87,219.0,219.0,190627,,,,203.99,,,,,74.77,,,,,7.6,97.68,89.54,563792,0.0189
2021-01-27,ETHIO_COFFEE,219.54,223.17,215.47,215.93,215.93,198450,,,,205.83,,,,,69.61,,,,,7.61,77.02,90.34,365342,-0.014
2021-01-28,ETHIO_COFFEE,215.74,216.53,212.23,212.81,212.81,193833,201.43,,,206.9,,,,,64.73,216.76,201.43,186.1,0.1522,7.37,67.11,80.6,171509,-0.0144
2021-01-29,ETHIO_COFFEE,212.79,214.06,207.91,210.7,210.7,185552,202.25,,,207.49,,,,,61.58,217.71,202.25,186.8,0.1528,7.28,60.41,68.18,-14043,-0.0099
2021-02-01,ETHIO_COFFEE,210.02,210.6,207.67,208.89,208.89,217720,203.0,,,207.7,,,,,58.93,218.23,203.0,187.76,0.1501,6.98,53.2,60.24,-231763,-0.0086
