Date,Ticker,Open,High,Low,Close,AdjClose,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR_14,Stoch_K,Stoch_D,OBV,Daily_Return
2021-01-01,MSFT,219.68,224.06,217.31,218.27,218.27,28877339,,,,,,,,,,,,,,,,,0,0.0
2021-01-04,MSFT,217.69,217.98,215.7,217.28,217.28,30551288,,,,,,,,,,,,,,,,,-30551288,-0.0045
2021-01-05,MSFT,219.81,220.99,218.95,219.51,219.51,19754852,,,,,,,,,,,,,,,,,-10796436,0.0103
2021-01-06,MSFT,218.57,221.83,218.26,220.1,220.1,32148692,,,,,,,,,,,,,,,,,21352256,0.0027
2021-01-07,MSFT,220.48,222.01,217.73,218.45,218.45,24058165,,,,,,,,,,,,,,,,,-2705909,-0.0075
2021-01-08,MSFT,217.12,222.95,213.64,220.86,220.86,33017814,,,,,,,,,,,,,,,,,30311905,0.011
2021-01-11,MSFT,221.57,224.02,216.91,218.56,218.56,24407819,,,,,,,,,,,,,,,,,5904086,-0.0104
2021-01-12,MSFT,218.83,219.07,214.5,214.84,214.84,38960412,,,,,,,,,,,,,,,,,-33056326,-0.017
2021-01-13,MSFT,214.91,219.52,214.49,219.22,219.22,30682788,,,,,,,,,,,,,,,,,-2373538,0.0204
2021-01-14,MSFT,219.44,222.46,216.52,221.18,221.18,27809247,,,,,,,,,,,,,,,,,25435709,0.0089
2021-01-15,MSFT,220.26,224.31,219.23,219.27,219.27,25203054,,,,,,,,,,,,,,,,,232655,-0.0086
2021-01-18,MSFT,218.16,223.07,217.97,222.98,222.98,30013113,,,,219.21,,,,,,,,,,,,,30245768,0.0169
2021-01-19,MSFT,223.17,230.2,221.8,226.27,226.27,39141016,,,,220.3,,,,,,,,,,,,,69386784,0.0148
2021-01-20,MSFT,227.36,231.03,223.68,230.45,230.45,38176795,,,,221.86,,,,,,,,,,5.63,96.66,,107563579,0.0185
2021-01-21,MSFT,230.96,233.03,227.67,232.13,232.13,35656161,,,,223.44,,,,,69.8,,,,,5.61,95.36,,143219740,0.0073
2021-01-22,MSFT,232.85,236.22,221.62,225.53,225.53,48698163,,,,223.76,,,,,58.02,,,,,6.25,52.66,81.56,94521577,-0.0284
2021-01-25,MSFT,225.86,228.82,224.25,225.18,225.18,25125589,,,,223.98,,,,,57.46,,,,,6.13,51.11,66.37,69395988,-0.0016
2021-01-26,MSFT,225.47,228.45,224.68,228.05,228.05,39622146,,,,224.61,,,,,60.77,,,,,5.96,63.82,55.86,109018134,0.0127
2021-01-27,MSFT,228.74,233.16,224.62,228.37,228.37,34077269,,,,225.18,,,,,61.13,,,,,6.15,65.23,60.05,143095403,0.0014
2021-01-28,MSFT,228.79,231.25,224.53,228.06,228.06,19317202,222.73,,,225.63,,,,,60.55,232.3,222.73,213.16,0.0859,6.19,62.45,63.83,123778201,-0.0014
2021-01-29,MSFT,226.56,229.11,223.2,223.87,223.87,37501732,223.01,,,225.36,,,,,53.15,232.37,223.01,213.65,0.0839,6.17,43.17,56.95,86276469,-0.0184
2021-02-01,MSFT,224.67,226.04,222.24,224.41,224.41,27460387,223.36,,,225.21,,,,,53.94,232.36,223.36,214.37,0.0805,6.0,45.65,50.42,113736856,0.0024
2021-02-02,MSFT,226.46,227.19,217.85,220.76,220.76,45734203,223.43,,,224.53,,,,,48.1,232.33,223.43,214.52,0.0797,6.24,21.52,36.78,68002653,-0.0163
2021-02-03,MSFT,220.95,221.09,219.48,220.2,220.2,21776158,223.43,,,223.86,,,,,47.25,232.33,223.43,214.54,0.0796,5.91,12.79,26.66,46226495,-0.0025
2021-02-04,MSFT,220.83,224.25,219.25,222.76,222.76,33505417,223.65,,,223.69,,,,,51.45,232.25,223.65,215.04,0.077,5.84,26.73,20.35,79731912,0.0116
2021-02-05,MSFT,221.39,223.32,218.65,220.85,220.85,28327748,223.65,,,223.25,222.59,0.661,,,48.36,232.25,223.65,215.04,0.077,5.76,16.33,18.62,51404164,-0.0086
2021-02-08,MSFT,221.75,225.38,219.03,224.12,224.12,35704565,223.93,,,223.39,222.71,0.682,,,53.51,232.21,223.93,215.64,0.074,5.8,34.13,25.73,87108729,0.0148
2021-02-09,MSFT,225.2,226.83,224.24,224.71,224.71,19286057,224.42,,,223.59,222.85,0.737,,,54.4,231.58,224.42,217.26,0.0638,5.58,37.34,29.27,106394786,0.0026
2021-02-10,MSFT,225.69,235.32,223.51,235.18,235.18,50198045,225.22,,,225.37,223.77,1.606,,,66.55,233.37,225.22,217.06,0.0724,6.02,94.34,55.27,156592831,0.0466
2021-02-11,MSFT,236.83,240.33,233.82,234.93,234.93,29663184,225.9,,,226.84,224.59,2.25,,,66.1,234.86,225.9,216.95,0.0793,6.06,75.98,69.22,126929647,-0.0011
2021-02-12,MSFT,234.68,245.37,233.9,243.26,243.26,43689798,227.1,,,229.37,225.98,3.393,,,72.75,238.32,227.1,215.88,0.0988,6.45,92.33,87.55,170619445,0.0355
2021-02-15,MSFT,244.76,247.03,240.1,242.94,242.94,36225833,228.1,,,231.46,227.23,4.224,,,72.17,241.09,228.1,215.11,0.1139,6.48,85.98,84.77,134393612,-0.0013
2021-02-16,MSFT,243.57,248.89,240.46,248.57,248.57,39844611,229.22,,,234.09,228.81,5.276,,,75.85,244.93,229.22,213.51,0.1371,6.62,98.97,92.43,174238223,0.0232
2021-02-17,MSFT,248.27,257.6,245.21,255.62,255.62,34872212,230.47,,,237.4,230.8,6.603,2.826,3.777,79.51,249.96,230.47,210.99,0.1691,7.03,95.02,93.32,209110435,0.0284
2021-02-18,MSFT,254.46,255.36,252.78,255.2,255.2,22746764,231.63,,,240.14,232.61,7.533,3.767,3.766,78.75,253.9,231.63,209.36,0.1923,6.73,93.96,95.98,186363671,-0.0016
2021-02-19,MSFT,254.7,256.34,253.22,256.18,256.18,23152181,233.16,,,242.61,234.35,8.255,4.665,3.59,79.25,257.65,233.16,208.67,0.2101,6.47,96.43,95.14,209515852,0.0038
2021-02-22,MSFT,254.65,258.55,250.42,256.03,256.03,28056040,234.7,,,244.67,235.96,8.714,5.475,3.24,78.94,260.82,234.7,208.59,0.2225,6.59,93.68,94.69,181459812,-0.0006
2021-02-23,MSFT,256.21,262.62,255.83,258.95,258.95,38925410,236.25,,,246.87,237.66,9.208,6.221,2.986,80.53,264.2,236.25,208.3,0.2366,6.61,91.65,93.92,220385222,0.0114
2021-02-24,MSFT,258.89,263.44,253.71,256.68,256.68,27597105,237.66,,,248.38,239.07,9.308,6.839,2.47,75.76,266.72,237.66,208.61,0.2445,6.83,84.91,90.08,192788117,-0.0088
2021-02-25,MSFT,255.63,267.17,254.41,264.75,264.75,37594150,239.5,,,250.9,240.97,9.925,7.456,2.469,80.24,270.47,239.5,208.53,0.2586,7.25,94.97,90.51,230382267,0.0314
2021-02-26,MSFT,264.97,269.05,262.54,266.16,266.16,37130569,241.61,,,253.25,242.84,10.407,8.046,2.361,80.9,273.78,241.61,209.45,0.2662,7.2,93.65,91.18,267512836,0.0053
2021-03-01,MSFT,263.87,264.91,255.82,256.52,256.52,32457296,243.22,,,253.75,243.85,9.897,8.416,1.481,64.85,274.99,243.22,211.45,0.2613,7.42,72.49,87.04,235055540,-0.0362
