Date,Ticker,Open,High,Low,Close,AdjClose,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR_14,Stoch_K,Stoch_D,OBV,Daily_Return
2021-01-01,SPY,373.23,377.08,372.34,375.7,375.7,58770101,,,,,,,,,,,,,,,,,0,0.0
2021-01-04,SPY,375.44,380.59,374.9,380.19,380.19,59498424,,,,,,,,,,,,,,,,,59498424,0.012
2021-01-05,SPY,381.59,385.67,378.4,381.87,381.87,48648126,,,,,,,,,,,,,,,,,108146550,0.0044
2021-01-06,SPY,381.05,386.61,379.02,384.64,384.64,62513526,,,,,,,,,,,,,,,,,170660076,0.0073
2021-01-07,SPY,384.31,384.6,382.36,384.58,384.58,46999449,,,,,,,,,,,,,,,,,123660627,-0.0002
2021-01-08,SPY,383.81,392.24,382.27,387.0,387.0,66368911,,,,,,,,,,,,,,,,,190029538,0.0063
2021-01-11,SPY,386.65,387.55,385.06,387.44,387.44,62170595,,,,,,,,,,,,,,,,,252200133,0.0011
2021-01-12,SPY,387.91,390.15,383.46,389.31,389.31,40981440,,,,,,,,,,,,,,,,,293181573,0.0048
2021-01-13,SPY,389.2,394.27,387.84,393.27,393.27,50124210,,,,,,,,,,,,,,,,,343305783,0.0102
2021-01-14,SPY,389.9,403.66,387.52,403.54,403.54,64789553,,,,,,,,,,,,,,,,,408095336,0.0261
2021-01-15,SPY,404.78,408.83,404.31,405.37,405.37,43829271,,,,,,,,,,,,,,,,,451924607,0.0045
2021-01-18,SPY,406.8,410.28,404.79,408.84,408.84,66674540,,,,390.15,,,,,,,,,,,,,518599147,0.0086
2021-01-19,SPY,408.72,415.59,406.65,408.55,408.55,44149191,,,,392.98,,,,,,,,,,,,,474449956,-0.0007
2021-01-20,SPY,408.47,412.48,407.67,411.04,411.04,64382805,,,,395.76,,,,,,,,,,6.7,89.48,,538832761,0.0061
2021-01-21,SPY,407.97,409.24,402.72,406.42,406.42,64545042,,,,397.4,,,,,87.78,,,,,6.82,77.46,,474287719,-0.0112
2021-01-22,SPY,407.04,410.16,406.54,408.8,408.8,37109484,,,,399.15,,,,,88.5,,,,,6.6,81.74,82.9,511397203,0.0059
2021-01-25,SPY,408.92,415.17,406.48,413.37,413.37,60324050,,,,401.34,,,,,89.76,,,,,6.75,93.93,84.38,571721253,0.0112
2021-01-26,SPY,413.48,417.37,412.84,415.9,415.9,37176922,,,,403.58,,,,,90.38,,,,,6.59,95.81,90.49,608898175,0.0061
2021-01-27,SPY,416.65,425.68,415.85,422.52,422.52,44373427,,,,406.49,,,,,91.8,,,,,6.82,92.72,94.15,653271602,0.0159
2021-01-28,SPY,424.5,425.9,422.67,425.39,425.39,48114526,399.69,,,409.4,,,,,92.32,428.97,399.69,370.41,0.1465,6.57,98.8,95.78,701386128,0.0068
2021-01-29,SPY,425.79,431.7,422.49,431.57,431.57,68460400,402.48,,,412.81,,,,,93.32,432.72,402.48,372.24,0.1503,6.76,99.73,97.08,769846528,0.0145
2021-02-01,SPY,433.67,437.5,432.09,432.8,432.8,35602194,405.11,,,415.89,,,,,93.5,436.27,405.11,373.95,0.1538,6.7,90.6,96.38,805448722,0.0029
2021-02-02,SPY,433.37,433.73,423.43,427.0,427.0,45350044,407.37,,,417.6,,,,,82.21,438.0,407.37,376.73,0.1504,6.96,78.99,89.77,760098678,-0.0134
