Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2021-01-01,AAPL,129.89,130.03,128.91,129.79,129.79,55419176
2021-01-04,AAPL,128.61,129.71,127.27,127.94,127.94,37143732
2021-01-05,AAPL,128.65,129.46,128.38,128.51,128.51,52946426
2021-01-06,AAPL,128.39,130.29,126.04,127.22,127.22,39898874
2021-01-07,AAPL,126.34,128.8,125.74,128.41,128.41,76439446
2021-01-08,AAPL,128.64,130.61,126.69,128.05,128.05,54659229
2021-01-11,AAPL,127.12,132.59,126.38,129.34,129.34,59102282
2021-01-12,AAPL,128.96,130.77,124.15,125.77,125.77,71926673
2021-01-13,AAPL,125.6,125.86,124.61,125.72,125.72,34926863
2021-01-14,AAPL,126.0,126.3,124.26,125.95,125.95,43349193
2021-01-15,AAPL,126.25,126.56,122.33,125.13,125.13,59889134
2021-01-18,AAPL,124.9,124.99,123.62,124.32,124.32,47616991
2021-01-19,AAPL,124.27,129.04,123.63,127.3,127.3,80023747
2021-01-20,AAPL,126.87,128.73,126.65,127.69,127.69,45757810
2021-01-21,AAPL,129.11,129.88,128.27,129.02,129.02,52742777
2021-01-22,AAPL,129.86,130.81,125.31,125.55,125.55,69148268
2021-01-25,AAPL,125.37,127.59,122.97,124.26,124.26,52093825
2021-01-26,AAPL,126.29,126.81,125.71,125.74,125.74,36885970
2021-01-27,AAPL,126.28,128.42,125.05,128.09,128.09,46396529
2021-01-28,AAPL,129.47,132.73,122.66,123.23,123.23,101994196
2021-01-29,AAPL,123.3,127.17,121.97,126.54,126.54,63565560
2021-02-01,AAPL,126.31,127.54,125.57,126.1,126.1,63061430
2021-02-02,AAPL,125.77,128.17,125.77,127.41,127.41,71969538
2021-02-03,AAPL,127.03,129.86,125.75,128.77,128.77,48652808
2021-02-04,AAPL,128.01,129.44,126.52,129.17,129.17,39686622
2021-02-05,AAPL,129.28,131.58,128.08,129.18,129.18,58376868
2021-02-08,AAPL,129.38,131.55,127.05,129.13,129.13,35925922
2021-02-09,AAPL,129.15,129.29,126.46,128.56,128.56,39677994
2021-02-10,AAPL,128.68,128.92,123.75,126.2,126.2,62170439
2021-02-11,AAPL,126.93,127.11,126.12,127.01,127.01,41831631
2021-02-12,AAPL,126.98,131.56,126.42,130.16,130.16,57854787
2021-02-15,AAPL,130.72,131.49,130.2,130.68,130.68,38694488
2021-02-16,AAPL,131.06,133.94,128.36,133.57,133.57,75804140
2021-02-17,AAPL,133.78,135.67,133.0,135.23,135.23,45440858
2021-02-18,AAPL,134.9,140.34,134.51,138.06,138.06,78015021
2021-02-19,AAPL,138.33,139.94,137.75,138.67,138.67,48377651
2021-02-22,AAPL,137.68,139.09,137.62,138.49,138.49,49455121
2021-02-23,AAPL,139.61,139.61,135.55,136.4,136.4,66314018
2021-02-24,AAPL,136.65,136.65,132.16,135.1,135.1,55667731
2021-02-25,AAPL,134.47,141.87,132.94,137.11,137.11,75512558
2021-02-26,AAPL,136.82,142.77,136.18,142.29,142.29,82760263
2021-03-01,AAPL,142.96,144.33,142.48,143.08,143.08,63308839
2021-03-02,AAPL,144.28,145.68,142.58,142.98,142.98,69766176
2021-03-03,AAPL,142.96,146.34,142.18,146.17,146.17,61111645
2021-03-04,AAPL,145.99,151.78,145.38,149.48,149.48,54796821
2021-03-05,AAPL,149.05,149.56,146.68,147.34,147.34,72126665
2021-03-08,AAPL,147.56,150.73,146.36,148.96,148.96,47466958
2021-03-09,AAPL,149.99,152.96,148.05,152.92,152.92,68587901
2021-03-10,AAPL,153.39,156.79,149.92,150.4,150.4,55483155
2021-03-11,AAPL,149.88,152.04,148.57,150.33,150.33,43681252
2021-03-12,AAPL,151.43,152.88,148.32,149.02,149.02,77302037
2021-03-15,AAPL,149.01,150.52,147.92,150.26,150.26,68430444
2021-03-16,AAPL,149.25,154.79,148.64,154.2,154.2,87586361
2021-03-17,AAPL,153.22,155.68,153.05,153.54,153.54,33637296
2021-03-18,AAPL,152.98,156.53,150.0,154.71,154.71,45958400
2021-03-19,AAPL,154.95,157.05,154.56,155.92,155.92,56207328
2021-03-22,AAPL,155.43,156.69,154.55,155.91,155.91,49702621
2021-03-23,AAPL,155.1,161.59,154.25,160.24,160.24,70046423
2021-03-24,AAPL,160.27,165.79,159.36,164.99,164.99,81322807
2021-03-25,AAPL,164.72,165.34,162.66,162.7,162.7,70373511
2021-03-26,AAPL,162.14,166.8,160.37,165.74,165.74,56130285
2021-03-29,AAPL,166.23,169.99,164.54,167.68,167.68,66465706
2021-03-30,AAPL,167.35,169.52,166.6,169.52,169.52,67751632
2021-03-31,AAPL,168.97,172.65,168.32,171.95,171.95,76691869
2021-04-01,AAPL,170.26,178.59,167.12,177.28,177.28,69427805
2021-04-02,AAPL,176.52,180.23,175.24,177.45,177.45,63450345
2021-04-05,AAPL,176.83,178.86,176.04,178.66,178.66,68322815
2021-04-06,AAPL,178.19,181.11,176.46,180.33,180.33,51892132
2021-04-07,AAPL,179.73,182.42,179.56,181.3,181.3,49683096
2021-04-08,AAPL,179.59,187.14,177.16,186.67,186.67,79587622
2021-04-09,AAPL,186.54,191.59,186.21,190.74,190.74,82363437
2021-04-12,AAPL,192.86,194.63,191.98,194.54,194.54,53052333
2021-04-13,AAPL,193.74,196.35,192.36,194.59,194.59,47592858
2021-04-14,AAPL,194.26,194.29,192.78,192.89,192.89,67018251
2021-04-15,AAPL,192.53,192.67,185.82,188.52,188.52,61753180
2021-04-16,AAPL,189.09,193.72,187.71,192.95,192.95,76583898
2021-04-19,AAPL,192.18,193.54,190.42,192.85,192.85,47347632
2021-04-20,AAPL,193.32,197.19,190.69,192.8,192.8,55252121
2021-04-21,AAPL,192.06,197.44,189.86,196.69,196.69,53190080
2021-04-22,AAPL,197.66,200.09,195.0,196.33,196.33,52232644
2021-04-23,AAPL,196.56,200.56,194.02,194.69,194.69,65120522
2021-04-26,AAPL,195.04,198.37,194.78,195.72,195.72,45206667
2021-04-27,AAPL,194.3,198.92,193.12,198.29,198.29,56272163
2021-04-28,AAPL,198.4,204.75,197.82,201.04,201.04,45752882
2021-04-29,AAPL,201.73,202.76,194.79,197.54,197.54,65778025
2021-04-30,AAPL,198.92,202.11,197.99,198.1,198.1,59468590
2021-05-03,AAPL,198.72,203.28,194.43,201.1,201.1,58579214
2021-05-04,AAPL,201.33,205.05,199.59,203.8,203.8,67808557
2021-05-05,AAPL,201.28,205.18,196.75,199.4,199.4,67997216
2021-05-06,AAPL,198.4,201.99,195.8,195.91,195.91,60074962
2021-05-07,AAPL,194.97,201.88,194.74,200.41,200.41,64360467
2021-05-10,AAPL,199.16,201.82,196.87,197.23,197.23,48871151
2021-05-11,AAPL,197.59,200.1,195.94,199.87,199.87,58910675
2021-05-12,AAPL,200.41,202.78,197.58,201.73,201.73,39470391
2021-05-13,AAPL,202.39,203.54,198.06,198.71,198.71,61101929
2021-05-14,AAPL,198.0,203.83,194.47,202.55,202.55,76263210
2021-05-17,AAPL,202.62,204.58,200.01,202.63,202.63,58457726
2021-05-18,AAPL,202.34,206.25,199.9,206.21,206.21,67717563
2021-05-19,AAPL,206.9,207.43,206.71,206.98,206.98,42469234
2021-05-20,AAPL,206.07,207.2,203.97,205.87,205.87,36379208
2021-05-21,AAPL,205.71,207.72,204.09,205.66,205.66,32602457
2021-05-24,AAPL,205.24,205.86,204.72,204.87,204.87,45057455
2021-05-25,AAPL,205.72,206.02,203.8,205.89,205.89,55908350
2021-05-26,AAPL,205.23,207.78,205.04,207.44,207.44,58175871
2021-05-27,AAPL,207.44,212.91,204.63,210.83,210.83,66759351
2021-05-28,AAPL,208.36,211.5,207.97,211.37,211.37,49287847
2021-05-31,AAPL,212.44,216.53,211.88,215.2,215.2,65211736
