Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2021-01-01,ETHIO_COFFEE,185.55,196.6,179.14,194.18,194.18,343968
2021-01-04,ETHIO_COFFEE,195.51,197.35,192.71,194.07,194.07,210126
2021-01-05,ETHIO_COFFEE,193.31,198.79,192.4,195.53,195.53,201746
2021-01-06,ETHIO_COFFEE,196.3,203.47,196.07,198.34,198.34,222604
2021-01-07,ETHIO_COFFEE,197.52,199.03,196.49,197.1,197.1,146989
2021-01-08,ETHIO_COFFEE,198.34,201.0,194.97,200.0,200.0,216893
2021-01-11,ETHIO_COFFEE,198.41,198.59,192.71,198.54,198.54,210870
2021-01-12,ETHIO_COFFEE,194.7,200.74,191.67,197.31,197.31,224593
2021-01-13,ETHIO_COFFEE,195.71,202.67,192.66,199.66,199.66,202477
2021-01-14,ETHIO_COFFEE,197.74,199.53,194.73,194.8,194.8,207700
2021-01-15,ETHIO_COFFEE,193.31,205.0,193.12,200.03,200.03,293815
2021-01-18,ETHIO_COFFEE,200.1,200.68,197.57,197.83,197.83,238481
2021-01-19,ETHIO_COFFEE,197.19,198.99,193.19,196.26,196.26,126720
2021-01-20,ETHIO_COFFEE,196.48,197.61,193.59,194.86,194.86,198318
2021-01-21,ETHIO_COFFEE,195.23,203.44,193.97,202.23,202.23,287562
2021-01-22,ETHIO_COFFEE,202.57,209.75,202.46,205.16,205.16,214302
2021-01-25,ETHIO_COFFEE,205.89,215.83,204.65,214.94,214.94,297563
2021-01-26,ETHIO_COFFEE,215.48,219.65,212.87,219.0,219.0,190627
2021-01-27,ETHIO_COFFEE,219.54,223.17,215.47,215.93,215.93,198450
2021-01-28,ETHIO_COFFEE,215.74,216.53,212.23,212.81,212.81,193833
2021-01-29,ETHIO_COFFEE,212.79,214.06,207.91,210.7,210.7,185552
2021-02-01,ETHIO_COFFEE,210.02,210.6,207.67,208.89,208.89,217720
2021-02-02,ETHIO_COFFEE,209.69,212.66,202.57,207.48,207.48,209377
2021-02-03,ETHIO_COFFEE,206.22,223.51,205.28,219.12,219.12,297228
2021-02-04,ETHIO_COFFEE,218.23,222.55,215.03,220.66,220.66,191734
2021-02-05,ETHIO_COFFEE,220.3,224.72,214.01,217.48,217.48,146231
2021-02-08,ETHIO_COFFEE,217.71,225.39,216.76,223.69,223.69,215914
2021-02-09,ETHIO_COFFEE,223.89,233.28,223.05,228.19,228.19,166983
2021-02-10,ETHIO_COFFEE,228.0,238.94,226.74,237.87,237.87,268245
2021-02-11,ETHIO_COFFEE,239.75,242.63,237.59,242.18,242.18,236223
2021-02-12,ETHIO_COFFEE,240.02,246.34,237.53,241.53,241.53,181522
2021-02-15,ETHIO_COFFEE,238.53,244.55,238.16,243.76,243.76,195659
2021-02-16,ETHIO_COFFEE,243.18,250.4,240.72,247.82,247.82,219726
2021-02-17,ETHIO_COFFEE,248.63,253.33,238.91,239.96,239.96,223897
2021-02-18,ETHIO_COFFEE,238.43,241.83,238.36,240.35,240.35,220576
2021-02-19,ETHIO_COFFEE,242.17,246.02,242.12,245.6,245.6,247937
2021-02-22,ETHIO_COFFEE,244.96,248.87,239.06,246.01,246.01,165558
2021-02-23,ETHIO_COFFEE,245.39,246.5,241.98,242.02,242.02,174542
2021-02-24,ETHIO_COFFEE,243.03,249.41,240.06,245.72,245.72,141436
2021-02-25,ETHIO_COFFEE,244.8,246.59,242.58,244.39,244.39,117782
2021-02-26,ETHIO_COFFEE,243.88,245.51,241.62,244.51,244.51,124723
2021-03-01,ETHIO_COFFEE,243.38,245.31,238.99,239.13,239.13,167736
2021-03-02,ETHIO_COFFEE,238.63,245.31,236.15,242.78,242.78,260193
2021-03-03,ETHIO_COFFEE,241.37,243.29,231.82,236.23,236.23,219580
2021-03-04,ETHIO_COFFEE,234.32,238.98,232.25,237.2,237.2,206278
2021-03-05,ETHIO_COFFEE,238.31,239.92,235.4,239.14,239.14,207684
2021-03-08,ETHIO_COFFEE,238.44,248.69,232.76,245.69,245.69,286585
2021-03-09,ETHIO_COFFEE,245.51,246.77,243.21,245.03,245.03,175144
2021-03-10,ETHIO_COFFEE,245.46,247.11,241.14,243.55,243.55,178446
2021-03-11,ETHIO_COFFEE,241.82,252.57,239.4,250.28,250.28,281890
2021-03-12,ETHIO_COFFEE,251.51,253.78,244.67,251.91,251.91,183914
2021-03-15,ETHIO_COFFEE,252.9,253.91,245.34,246.07,246.07,193294
2021-03-16,ETHIO_COFFEE,244.0,245.77,236.93,237.83,237.83,217808
2021-03-17,ETHIO_COFFEE,236.45,239.91,233.74,238.41,238.41,192314
2021-03-18,ETHIO_COFFEE,240.56,243.27,235.86,237.22,237.22,175309
2021-03-19,ETHIO_COFFEE,237.13,240.33,234.7,239.26,239.26,180472
2021-03-22,ETHIO_COFFEE,242.2,242.99,234.28,239.17,239.17,201331
2021-03-23,ETHIO_COFFEE,236.52,239.27,236.23,238.58,238.58,175041
2021-03-24,ETHIO_COFFEE,238.6,240.97,237.97,239.74,239.74,211865
2021-03-25,ETHIO_COFFEE,238.7,240.88,238.38,240.28,240.28,169979
2021-03-26,ETHIO_COFFEE,241.2,243.87,229.19,231.4,231.4,289576
2021-03-29,ETHIO_COFFEE,232.36,233.25,229.94,232.7,232.7,174758
2021-03-30,ETHIO_COFFEE,233.98,235.42,224.24,225.4,225.4,250265
2021-03-31,ETHIO_COFFEE,225.25,228.78,223.45,226.51,226.51,138976
2021-04-01,ETHIO_COFFEE,223.39,229.05,221.04,228.25,228.25,197303
2021-04-02,ETHIO_COFFEE,228.13,229.7,227.89,228.6,228.6,184674
2021-04-05,ETHIO_COFFEE,227.71,228.25,223.05,224.4,224.4,245743
2021-04-06,ETHIO_COFFEE,223.68,230.09,222.33,227.19,227.19,247766
2021-04-07,ETHIO_COFFEE,226.11,226.9,222.17,224.16,224.16,185125
2021-04-08,ETHIO_COFFEE,224.17,230.73,221.07,228.59,228.59,233345
2021-04-09,ETHIO_COFFEE,229.2,232.54,228.46,232.07,232.07,181021
2021-04-12,ETHIO_COFFEE,232.68,238.26,232.19,235.39,235.39,234210
2021-04-13,ETHIO_COFFEE,236.19,243.46,235.81,241.42,241.42,251775
2021-04-14,ETHIO_COFFEE,243.01,246.42,242.03,245.74,245.74,200246
2021-04-15,ETHIO_COFFEE,248.79,250.93,243.08,244.11,244.11,258037
2021-04-16,ETHIO_COFFEE,245.08,249.05,239.01,240.66,240.66,222651
2021-04-19,ETHIO_COFFEE,240.39,245.76,239.43,244.98,244.98,211130
2021-04-20,ETHIO_COFFEE,245.53,249.58,244.82,247.82,247.82,227136
2021-04-21,ETHIO_COFFEE,246.53,250.07,245.67,245.85,245.85,145337
2021-04-22,ETHIO_COFFEE,247.57,248.49,240.87,242.08,242.08,206667
2021-04-23,ETHIO_COFFEE,241.66,245.59,230.54,233.67,233.67,280470
2021-04-26,ETHIO_COFFEE,233.49,233.57,227.73,232.32,232.32,187029
2021-04-27,ETHIO_COFFEE,233.75,239.0,230.11,236.0,236.0,141629
2021-04-28,ETHIO_COFFEE,236.84,238.92,231.19,235.75,235.75,219954
2021-04-29,ETHIO_COFFEE,236.35,242.26,228.23,231.0,231.0,237845
2021-04-30,ETHIO_COFFEE,232.54,236.43,229.05,233.1,233.1,130572
2021-05-03,ETHIO_COFFEE,231.1,232.84,229.25,232.58,232.58,227844
2021-05-04,ETHIO_COFFEE,233.81,233.82,229.94,230.03,230.03,208133
2021-05-05,ETHIO_COFFEE,229.09,232.39,225.72,228.99,228.99,150663
2021-05-06,ETHIO_COFFEE,229.75,237.35,223.64,226.76,226.76,169174
2021-05-07,ETHIO_COFFEE,226.95,228.27,222.18,224.12,224.12,196854
2021-05-10,ETHIO_COFFEE,223.27,223.93,218.16,219.5,219.5,172440
2021-05-11,ETHIO_COFFEE,220.11,220.65,218.75,220.21,220.21,191554
2021-05-12,ETHIO_COFFEE,220.44,220.68,210.3,213.22,213.22,304014
2021-05-13,ETHIO_COFFEE,213.14,213.91,208.18,210.08,210.08,192573
2021-05-14,ETHIO_COFFEE,208.73,209.44,206.36,207.88,207.88,217474
2021-05-17,ETHIO_COFFEE,205.65,206.62,203.25,203.37,203.37,210666
2021-05-18,ETHIO_COFFEE,201.24,205.56,196.4,204.43,204.43,168891
2021-05-19,ETHIO_COFFEE,205.75,208.0,202.53,203.85,203.85,154431
2021-05-20,ETHIO_COFFEE,205.05,206.88,200.08,200.17,200.17,233943
2021-05-21,ETHIO_COFFEE,201.04,206.62,198.84,206.17,206.17,275811
2021-05-24,ETHIO_COFFEE,207.26,209.6,200.8,205.42,205.42,179851
2021-05-25,ETHIO_COFFEE,207.29,214.23,205.0,214.13,214.13,271574
2021-05-26,ETHIO_COFFEE,215.67,216.32,209.18,210.91,210.91,216551
2021-05-27,ETHIO_COFFEE,211.21,212.59,209.5,212.15,212.15,191540
2021-05-28,ETHIO_COFFEE,212.75,213.11,207.75,210.25,210.25,241656
2021-05-31,ETHIO_COFFEE,209.51,212.47,207.28,209.79,209.79,127007
2021-06-01,ETHIO_COFFEE,208.6,212.5,208.2,208.74,208.74,129807
2021-06-02,ETHIO_COFFEE,209.93,216.88,208.98,214.6,214.6,182008
2021-06-03,ETHIO_COFFEE,214.56,227.23,211.52,225.75,225.75,299419
2021-06-04,ETHIO_COFFEE,224.08,231.18,220.22,228.5,228.5,264975
2021-06-07,ETHIO_COFFEE,227.75,228.39,224.8,225.1,225.1,153181
2021-06-08,ETHIO_COFFEE,226.0,232.78,224.51,228.09,228.09,167370
2021-06-09,ETHIO_COFFEE,228.25,232.0,226.48,230.96,230.96,195863
2021-06-10,ETHIO_COFFEE,230.5,234.07,226.75,229.43,229.43,128369
2021-06-11,ETHIO_COFFEE,230.6,233.88,221.72,224.32,224.32,230648
2021-06-14,ETHIO_COFFEE,225.39,230.13,212.79,212.85,212.85,360268
2021-06-15,ETHIO_COFFEE,211.56,217.23,210.89,213.2,213.2,155681
2021-06-16,ETHIO_COFFEE,212.4,216.54,206.0,209.38,209.38,215390
2021-06-17,ETHIO_COFFEE,207.07,212.4,206.24,212.14,212.14,234524
2021-06-18,ETHIO_COFFEE,210.76,217.96,208.22,215.78,215.78,254507
2021-06-21,ETHIO_COFFEE,216.58,223.12,216.35,222.41,222.41,238039
2021-06-22,ETHIO_COFFEE,221.89,241.0,220.51,233.49,233.49,284363
2021-06-23,ETHIO_COFFEE,233.61,238.08,233.57,236.26,236.26,236646
2021-06-24,ETHIO_COFFEE,234.97,238.48,232.96,238.46,238.46,250211
2021-06-25,ETHIO_COFFEE,239.8,240.16,232.46,233.29,233.29,235881
2021-06-28,ETHIO_COFFEE,233.24,234.42,229.69,229.99,229.99,236237
2021-06-29,ETHIO_COFFEE,230.43,230.48,223.95,227.26,227.26,249143
2021-06-30,ETHIO_COFFEE,223.73,224.91,222.65,224.65,224.65,186006
2021-07-01,ETHIO_COFFEE,225.06,225.14,222.4,223.5,223.5,161293
2021-07-02,ETHIO_COFFEE,222.42,225.73,216.07,222.38,222.38,160478
2021-07-05,ETHIO_COFFEE,221.08,225.67,220.41,224.0,224.0,181767
2021-07-06,ETHIO_COFFEE,223.58,231.99,220.83,229.23,229.23,262722
2021-07-07,ETHIO_COFFEE,229.93,230.14,227.66,230.02,230.02,196693
2021-07-08,ETHIO_COFFEE,229.19,234.51,228.44,231.49,231.49,143665
2021-07-09,ETHIO_COFFEE,230.47,232.2,223.77,225.45,225.45,183766
2021-07-12,ETHIO_COFFEE,224.2,233.31,220.78,232.64,232.64,309320
2021-07-13,ETHIO_COFFEE,232.81,237.03,231.64,235.37,235.37,155962
2021-07-14,ETHIO_COFFEE,236.91,238.63,228.59,233.37,233.37,244594
2021-07-15,ETHIO_COFFEE,233.17,245.12,232.46,240.48,240.48,293784
2021-07-16,ETHIO_COFFEE,242.77,248.06,240.58,246.04,246.04,148743
2021-07-19,ETHIO_COFFEE,246.4,250.39,236.35,241.1,241.1,254904
2021-07-20,ETHIO_COFFEE,239.85,240.32,236.91,238.92,238.92,171154
2021-07-21,ETHIO_COFFEE,239.42,247.37,236.99,247.06,247.06,289363
2021-07-22,ETHIO_COFFEE,245.32,247.21,241.89,246.99,246.99,146531
2021-07-23,ETHIO_COFFEE,246.26,251.77,244.08,249.83,249.83,185505
2021-07-26,ETHIO_COFFEE,249.06,249.71,246.75,248.86,248.86,211336
2021-07-27,ETHIO_COFFEE,249.02,249.11,247.38,247.62,247.62,142302
2021-07-28,ETHIO_COFFEE,245.16,252.35,243.22,251.11,251.11,182269
2021-07-29,ETHIO_COFFEE,251.77,255.08,249.02,251.59,251.59,169489
2021-07-30,ETHIO_COFFEE,252.34,257.95,248.56,254.38,254.38,164558
2021-08-02,ETHIO_COFFEE,254.99,257.33,250.55,255.88,255.88,211611
2021-08-03,ETHIO_COFFEE,254.58,261.65,252.43,259.19,259.19,249691
2021-08-04,ETHIO_COFFEE,258.97,265.96,251.69,264.19,264.19,227131
2021-08-05,ETHIO_COFFEE,265.02,276.47,261.0,272.73,272.73,269257
2021-08-06,ETHIO_COFFEE,271.45,277.9,271.01,277.41,277.41,172898
2021-08-09,ETHIO_COFFEE,278.95,280.84,271.31,271.63,271.63,275782
2021-08-10,ETHIO_COFFEE,272.13,278.68,269.05,277.03,277.03,185295
