Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2021-01-01,MSFT,219.68,224.06,217.31,218.27,218.27,28877339
2021-01-04,MSFT,217.69,217.98,215.7,217.28,217.28,30551288
2021-01-05,MSFT,219.81,220.99,218.95,219.51,219.51,19754852
2021-01-06,MSFT,218.57,221.83,218.26,220.1,220.1,32148692
2021-01-07,MSFT,220.48,222.01,217.73,218.45,218.45,24058165
2021-01-08,MSFT,217.12,222.95,213.64,220.86,220.86,33017814
2021-01-11,MSFT,221.57,224.02,216.91,218.56,218.56,24407819
2021-01-12,MSFT,218.83,219.07,214.5,214.84,214.84,38960412
2021-01-13,MSFT,214.91,219.52,214.49,219.22,219.22,30682788
2021-01-14,MSFT,219.44,222.46,216.52,221.18,221.18,27809247
2021-01-15,MSFT,220.26,224.31,219.23,219.27,219.27,25203054
2021-01-18,MSFT,218.16,223.07,217.97,222.98,222.98,30013113
2021-01-19,MSFT,223.17,230.2,221.8,226.27,226.27,39141016
2021-01-20,MSFT,227.36,231.03,223.68,230.45,230.45,38176795
2021-01-21,MSFT,230.96,233.03,227.67,232.13,232.13,35656161
2021-01-22,MSFT,232.85,236.22,221.62,225.53,225.53,48698163
2021-01-25,MSFT,225.86,228.82,224.25,225.18,225.18,25125589
2021-01-26,MSFT,225.47,228.45,224.68,228.05,228.05,39622146
2021-01-27,MSFT,228.74,233.16,224.62,228.37,228.37,34077269
2021-01-28,MSFT,228.79,231.25,224.53,228.06,228.06,19317202
2021-01-29,MSFT,226.56,229.11,223.2,223.87,223.87,37501732
2021-02-01,MSFT,224.67,226.04,222.24,224.41,224.41,27460387
2021-02-02,MSFT,226.46,227.19,217.85,220.76,220.76,45734203
2021-02-03,MSFT,220.95,221.09,219.48,220.2,220.2,21776158
2021-02-04,MSFT,220.83,224.25,219.25,222.76,222.76,33505417
2021-02-05,MSFT,221.39,223.32,218.65,220.85,220.85,28327748
2021-02-08,MSFT,221.75,225.38,219.03,224.12,224.12,35704565
2021-02-09,MSFT,225.2,226.83,224.24,224.71,224.71,19286057
2021-02-10,MSFT,225.69,235.32,223.51,235.18,235.18,50198045
2021-02-11,MSFT,236.83,240.33,233.82,234.93,234.93,29663184
2021-02-12,MSFT,234.68,245.37,233.9,243.26,243.26,43689798
2021-02-15,MSFT,244.76,247.03,240.1,242.94,242.94,36225833
2021-02-16,MSFT,243.57,248.89,240.46,248.57,248.57,39844611
2021-02-17,MSFT,248.27,257.6,245.21,255.62,255.62,34872212
2021-02-18,MSFT,254.46,255.36,252.78,255.2,255.2,22746764
2021-02-19,MSFT,254.7,256.34,253.22,256.18,256.18,23152181
2021-02-22,MSFT,254.65,258.55,250.42,256.03,256.03,28056040
2021-02-23,MSFT,256.21,262.62,255.83,258.95,258.95,38925410
2021-02-24,MSFT,258.89,263.44,253.71,256.68,256.68,27597105
2021-02-25,MSFT,255.63,267.17,254.41,264.75,264.75,37594150
2021-02-26,MSFT,264.97,269.05,262.54,266.16,266.16,37130569
2021-03-01,MSFT,263.87,264.91,255.82,256.52,256.52,32457296
2021-03-02,MSFT,257.9,259.85,255.76,255.92,255.92,25453465
2021-03-03,MSFT,254.8,257.05,254.33,255.82,255.82,34427545
2021-03-04,MSFT,254.88,263.92,254.07,261.97,261.97,31988185
2021-03-05,MSFT,264.34,265.91,259.38,259.68,259.68,28962209
2021-03-08,MSFT,260.76,266.76,258.57,262.38,262.38,33869599
2021-03-09,MSFT,261.62,263.33,259.96,263.04,263.04,29423793
2021-03-10,MSFT,263.56,274.02,261.27,271.75,271.75,44623422
2021-03-11,MSFT,270.3,273.23,265.38,268.52,268.52,37206203
2021-03-12,MSFT,266.26,266.73,260.12,260.77,260.77,39565729
2021-03-15,MSFT,261.7,269.41,258.36,266.17,266.17,26806171
2021-03-16,MSFT,266.05,268.04,265.99,267.87,267.87,23125123
2021-03-17,MSFT,267.67,277.45,266.9,276.06,276.06,45205225
2021-03-18,MSFT,274.14,279.36,267.63,278.54,278.54,38270651
2021-03-19,MSFT,277.6,281.15,275.07,277.79,277.79,26868010
2021-03-22,MSFT,278.0,282.35,266.78,269.07,269.07,34371807
2021-03-23,MSFT,268.71,272.44,263.17,263.41,263.41,32361315
2021-03-24,MSFT,262.24,265.94,255.87,260.11,260.11,25793244
2021-03-25,MSFT,261.07,264.47,260.65,263.46,263.46,35397126
2021-03-26,MSFT,264.31,270.08,262.58,268.08,268.08,38894418
2021-03-29,MSFT,267.45,273.62,265.5,269.85,269.85,37150521
2021-03-30,MSFT,268.32,280.52,267.94,274.32,274.32,41632003
2021-03-31,MSFT,271.61,279.51,270.26,275.67,275.67,35202322
2021-04-01,MSFT,275.75,280.11,272.77,279.46,279.46,34068556
2021-04-02,MSFT,281.04,286.16,273.99,278.83,278.83,31102724
2021-04-05,MSFT,278.3,281.29,275.82,279.24,279.24,33668931
2021-04-06,MSFT,279.73,283.76,279.73,281.6,281.6,23309199
2021-04-07,MSFT,282.72,285.06,281.22,284.65,284.65,35010719
2021-04-08,MSFT,285.09,288.33,284.82,288.18,288.18,28559293
2021-04-09,MSFT,288.95,291.76,287.95,290.59,290.59,32932612
2021-04-12,MSFT,290.07,295.52,288.32,294.01,294.01,37814610
2021-04-13,MSFT,293.41,296.48,288.43,291.08,291.08,27053253
2021-04-14,MSFT,290.59,291.97,282.48,288.46,288.46,38243818
2021-04-15,MSFT,290.88,294.46,290.5,294.37,294.37,25391014
2021-04-16,MSFT,295.46,296.87,285.13,286.53,286.53,40401866
2021-04-19,MSFT,286.13,291.92,284.5,289.78,289.78,35797826
2021-04-20,MSFT,287.87,298.27,287.75,296.61,296.61,34933464
2021-04-21,MSFT,295.84,299.09,291.8,293.51,293.51,32193906
2021-04-22,MSFT,292.69,297.14,289.48,293.0,293.0,32421535
2021-04-23,MSFT,292.2,296.56,291.38,294.17,294.17,33419689
2021-04-26,MSFT,296.72,300.09,293.5,297.51,297.51,27303126
2021-04-27,MSFT,299.48,304.38,296.69,302.89,302.89,36461868
2021-04-28,MSFT,302.14,303.87,299.69,301.33,301.33,26193432
2021-04-29,MSFT,302.12,305.89,294.53,295.45,295.45,37082230
2021-04-30,MSFT,294.24,303.71,291.24,297.39,297.39,23863366
2021-05-03,MSFT,295.94,299.97,293.91,299.3,299.3,26996018
2021-05-04,MSFT,298.55,304.76,297.79,301.58,301.58,27565730
2021-05-05,MSFT,299.83,304.56,298.83,303.42,303.42,35597352
2021-05-06,MSFT,303.57,308.93,302.36,306.88,306.88,27893298
2021-05-07,MSFT,305.91,308.75,298.94,300.56,300.56,39921211
2021-05-10,MSFT,305.26,307.87,303.12,303.51,303.51,34807640
2021-05-11,MSFT,304.73,308.27,297.95,304.47,304.47,33257762
2021-05-12,MSFT,305.3,310.31,304.87,310.0,310.0,29065814
2021-05-13,MSFT,308.37,309.77,304.81,308.91,308.91,19833811
2021-05-14,MSFT,309.44,310.67,305.9,308.33,308.33,31812011
2021-05-17,MSFT,309.57,311.49,305.47,306.44,306.44,32131930
2021-05-18,MSFT,305.9,307.42,305.37,307.24,307.24,28236157
2021-05-19,MSFT,308.31,313.91,305.44,312.09,312.09,28561397
2021-05-20,MSFT,309.51,315.63,308.72,312.59,312.59,38046634
2021-05-21,MSFT,311.62,322.98,310.74,315.87,315.87,27081219
2021-05-24,MSFT,313.71,319.82,310.74,316.48,316.48,26791616
2021-05-25,MSFT,314.51,323.89,307.79,320.84,320.84,40386936
2021-05-26,MSFT,320.97,324.6,317.25,322.52,322.52,32567011
2021-05-27,MSFT,321.26,332.7,319.44,332.15,332.15,35929785
2021-05-28,MSFT,333.15,337.21,324.9,328.65,328.65,34981094
2021-05-31,MSFT,325.87,332.75,322.36,332.41,332.41,34692070
2021-06-01,MSFT,332.03,334.89,322.48,327.51,327.51,36136124
2021-06-02,MSFT,329.41,330.87,327.41,327.83,327.83,21756473
2021-06-03,MSFT,328.89,329.18,316.23,317.16,317.16,51375009
2021-06-04,MSFT,315.24,319.05,315.15,316.59,316.59,25481100
2021-06-07,MSFT,316.67,319.36,311.78,314.61,314.61,31967504
2021-06-08,MSFT,314.68,318.69,305.61,309.01,309.01,41692689
2021-06-09,MSFT,307.1,314.24,304.8,314.13,314.13,29827909
2021-06-10,MSFT,311.39,320.15,309.92,316.6,316.6,39834863
2021-06-11,MSFT,316.0,323.69,313.58,318.36,318.36,38218526
2021-06-14,MSFT,316.41,321.82,312.99,317.34,317.34,23953838
2021-06-15,MSFT,318.2,330.12,316.5,325.81,325.81,40830132
2021-06-16,MSFT,326.81,330.96,321.53,330.21,330.21,36302222
2021-06-17,MSFT,330.97,332.73,326.55,329.21,329.21,30746465
2021-06-18,MSFT,328.79,336.21,325.47,333.69,333.69,32388264
2021-06-21,MSFT,331.48,338.9,329.88,333.61,333.61,24145827
2021-06-22,MSFT,332.68,338.4,332.19,334.6,334.6,29895252
2021-06-23,MSFT,335.68,339.63,333.29,339.16,339.16,30065389
2021-06-24,MSFT,339.7,342.48,330.08,336.52,336.52,38767759
2021-06-25,MSFT,337.52,341.8,335.26,338.39,338.39,30912780
2021-06-28,MSFT,337.44,345.18,333.6,333.66,333.66,37162466
2021-06-29,MSFT,336.23,343.39,332.19,333.83,333.83,33331339
2021-06-30,MSFT,333.12,339.35,330.91,338.79,338.79,42199025
2021-07-01,MSFT,338.97,340.19,334.54,339.34,339.34,27450336
2021-07-02,MSFT,337.17,343.71,330.06,342.31,342.31,26276842
2021-07-05,MSFT,343.1,348.5,340.18,345.87,345.87,34141259
2021-07-06,MSFT,347.53,348.63,346.95,348.62,348.62,23710519
