Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2021-01-01,SPY,373.23,377.08,372.34,375.7,375.7,58770101
2021-01-04,SPY,375.44,380.59,374.9,380.19,380.19,59498424
2021-01-05,SPY,381.59,385.67,378.4,381.87,381.87,48648126
2021-01-06,SPY,381.05,386.61,379.02,384.64,384.64,62513526
2021-01-07,SPY,384.31,384.6,382.36,384.58,384.58,46999449
2021-01-08,SPY,383.81,392.24,382.27,387.0,387.0,66368911
2021-01-11,SPY,386.65,387.55,385.06,387.44,387.44,62170595
2021-01-12,SPY,387.91,390.15,383.46,389.31,389.31,40981440
2021-01-13,SPY,389.2,394.27,387.84,393.27,393.27,50124210
2021-01-14,SPY,389.9,403.66,387.52,403.54,403.54,64789553
2021-01-15,SPY,404.78,408.83,404.31,405.37,405.37,43829271
2021-01-18,SPY,406.8,410.28,404.79,408.84,408.84,66674540
2021-01-19,SPY,408.72,415.59,406.65,408.55,408.55,44149191
2021-01-20,SPY,408.47,412.48,407.67,411.04,411.04,64382805
2021-01-21,SPY,407.97,409.24,402.72,406.42,406.42,64545042
2021-01-22,SPY,407.04,410.16,406.54,408.8,408.8,37109484
2021-01-25,SPY,408.92,415.17,406.48,413.37,413.37,60324050
2021-01-26,SPY,413.48,417.37,412.84,415.9,415.9,37176922
2021-01-27,SPY,416.65,425.68,415.85,422.52,422.52,44373427
2021-01-28,SPY,424.5,425.9,422.67,425.39,425.39,48114526
2021-01-29,SPY,425.79,431.7,422.49,431.57,431.57,68460400
2021-02-01,SPY,433.67,437.5,432.09,432.8,432.8,35602194
2021-02-02,SPY,433.37,433.73,423.43,427.0,427.0,45350044
2021-02-03,SPY,428.65,430.68,415.2,417.82,417.82,81691580
2021-02-04,SPY,416.27,420.41,412.33,416.46,416.46,49671558
2021-02-05,SPY,416.56,417.58,411.16,412.61,412.61,59023085
2021-02-08,SPY,412.06,414.6,404.73,405.56,405.56,63197120
2021-02-09,SPY,408.97,410.48,404.33,406.03,406.03,53456834
2021-02-10,SPY,403.26,414.26,398.08,412.53,412.53,77591269
2021-02-11,SPY,413.58,414.45,409.76,409.95,409.95,58023410
2021-02-12,SPY,409.18,413.16,396.86,403.04,403.04,68277768
2021-02-15,SPY,402.59,406.28,399.23,400.85,400.85,55352989
2021-02-16,SPY,401.68,404.45,396.08,402.48,402.48,47255157
2021-02-17,SPY,400.54,401.89,398.52,401.06,401.06,39021080
2021-02-18,SPY,400.89,406.73,400.88,404.05,404.05,39274048
2021-02-19,SPY,406.21,407.43,401.49,402.3,402.3,42592510
2021-02-22,SPY,402.83,411.17,399.86,408.45,408.45,48016731
2021-02-23,SPY,410.12,412.03,404.23,407.91,407.91,44566668
2021-02-24,SPY,405.92,412.21,403.74,408.62,408.62,48399127
2021-02-25,SPY,407.56,416.98,402.45,415.8,415.8,69459798
2021-02-26,SPY,414.17,424.22,412.41,421.23,421.23,57695866
2021-03-01,SPY,418.07,425.34,417.39,420.98,420.98,56827506
2021-03-02,SPY,421.79,423.0,419.02,420.19,420.19,49010582
2021-03-03,SPY,418.84,428.23,415.91,421.64,421.64,56108422
2021-03-04,SPY,421.41,421.43,416.79,419.45,419.45,58255530
2021-03-05,SPY,418.7,429.72,412.45,428.54,428.54,73618230
2021-03-08,SPY,428.92,430.01,425.16,429.96,429.96,48959744
2021-03-09,SPY,430.05,447.36,427.86,442.27,442.27,72702950
2021-03-10,SPY,439.73,446.73,437.07,445.77,445.77,60193781
2021-03-11,SPY,446.87,450.48,446.48,447.69,447.69,61550568
2021-03-12,SPY,447.17,449.93,444.53,448.19,448.19,50015391
2021-03-15,SPY,448.01,449.41,435.74,439.65,439.65,68687816
2021-03-16,SPY,439.74,446.23,437.02,443.24,443.24,65715010
2021-03-17,SPY,441.36,454.89,440.15,450.94,450.94,71944798
2021-03-18,SPY,452.58,454.35,448.09,450.09,450.09,47974760
2021-03-19,SPY,449.81,455.27,449.74,454.22,454.22,42234241
2021-03-22,SPY,454.01,462.84,447.11,448.45,448.45,57516955
2021-03-23,SPY,446.3,449.79,438.62,442.23,442.23,43880256
2021-03-24,SPY,440.55,450.24,434.91,449.11,449.11,50376407
2021-03-25,SPY,449.88,460.47,447.27,454.42,454.42,46131705
2021-03-26,SPY,456.81,461.47,452.43,456.2,456.2,43794688
2021-03-29,SPY,455.56,457.63,446.77,447.77,447.77,58881870
2021-03-30,SPY,446.59,449.35,445.64,447.57,447.57,52038449
2021-03-31,SPY,448.61,452.4,442.09,442.23,442.23,74046967
2021-04-01,SPY,443.3,443.55,441.67,443.32,443.32,47608985
2021-04-02,SPY,443.8,446.32,437.11,441.68,441.68,55703574
2021-04-05,SPY,443.63,445.35,442.52,442.57,442.57,56624315
2021-04-06,SPY,443.41,448.74,440.75,445.94,445.94,57272691
2021-04-07,SPY,444.02,446.78,442.89,445.25,445.25,42332070
2021-04-08,SPY,448.37,460.27,445.2,455.39,455.39,57692330
2021-04-09,SPY,454.13,464.27,452.39,459.63,459.63,66792509
2021-04-12,SPY,460.32,471.9,459.56,467.75,467.75,58294173
2021-04-13,SPY,469.14,473.47,465.89,472.17,472.17,56756216
2021-04-14,SPY,473.34,483.56,470.11,477.44,477.44,68844210
2021-04-15,SPY,478.92,481.59,476.95,477.68,477.68,63629910
2021-04-16,SPY,476.93,483.66,471.67,480.71,480.71,65881054
2021-04-19,SPY,480.85,481.52,478.87,480.79,480.79,54259288
2021-04-20,SPY,482.15,490.41,479.8,486.83,486.83,47611125
2021-04-21,SPY,487.96,497.51,483.31,497.45,497.45,59965117
2021-04-22,SPY,498.67,499.46,487.71,492.58,492.58,45863205
2021-04-23,SPY,493.75,500.33,493.57,495.93,495.93,57836294
2021-04-26,SPY,495.15,497.87,488.75,491.67,491.67,53147875
2021-04-27,SPY,494.29,499.92,492.45,494.33,494.33,52545089
2021-04-28,SPY,494.29,510.86,493.88,505.78,505.78,64665835
2021-04-29,SPY,509.44,513.73,499.63,502.79,502.79,43498517
2021-04-30,SPY,504.57,516.02,500.33,512.46,512.46,64712072
2021-05-03,SPY,514.1,521.37,513.67,516.95,516.95,67495135
2021-05-04,SPY,517.82,518.71,508.2,509.49,509.49,76495269
2021-05-05,SPY,511.66,513.64,496.13,498.11,498.11,74182772
2021-05-06,SPY,495.98,496.22,491.95,494.06,494.06,41411205
2021-05-07,SPY,497.17,501.35,483.58,485.81,485.81,83366064
2021-05-10,SPY,487.16,492.4,486.16,489.5,489.5,60123513
2021-05-11,SPY,485.09,495.43,483.36,492.92,492.92,73662418
2021-05-12,SPY,493.83,494.15,489.8,491.98,491.98,55808818
2021-05-13,SPY,489.36,496.58,486.77,495.98,495.98,61801382
2021-05-14,SPY,495.23,496.3,486.34,493.17,493.17,64449461
2021-05-17,SPY,492.95,496.98,484.55,485.48,485.48,58347916
2021-05-18,SPY,486.02,493.11,477.11,485.48,485.48,49681192
2021-05-19,SPY,482.21,492.7,481.28,489.7,489.7,62468685
2021-05-20,SPY,489.07,491.92,487.25,488.06,488.06,35117977
2021-05-21,SPY,485.33,492.09,483.94,487.51,487.51,60719334
2021-05-24,SPY,486.55,487.48,484.34,486.23,486.23,48294765
2021-05-25,SPY,484.3,490.41,484.05,489.14,489.14,61626174
2021-05-26,SPY,487.74,488.01,482.2,484.32,484.32,59989749
